Flights (All Carriers - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2012,6,"7,35,215","1,17,309","8,52,524"
2012,7,"7,57,577","1,24,934","8,82,511"
2012,8,"7,53,520","1,23,078","8,76,598"
2012,9,"6,78,061","1,07,311","7,85,372"
2012,10,"6,94,790","1,06,620","8,01,410"
2012,11,"6,69,357","1,04,854","7,74,211"
2012,12,"6,70,926","1,13,805","7,84,731"
2012,TOTAL,"84,46,200","13,59,087","98,05,287"
2013,1,"6,62,137","1,15,425","7,77,562"
2013,2,"6,07,674","1,03,764","7,11,438"
2013,3,"7,10,251","1,20,765","8,31,016"
2013,4,"6,93,969","1,15,552","8,09,521"
2013,5,"7,21,525","1,18,763","8,40,288"
2013,6,"7,19,431","1,19,376","8,38,807"
2013,7,"7,51,574","1,27,554","8,79,128"
2013,8,"7,47,152","1,25,665","8,72,817"
2013,9,"6,83,465","1,08,209","7,91,674"
2013,10,"7,08,485","1,11,647","8,20,132"
2013,11,"6,55,857","1,07,734","7,63,591"
2013,12,"6,62,418","1,16,798","7,79,216"
2013,TOTAL,"83,23,938","13,91,252","97,15,190"
2014,1,"6,24,949","1,16,059","7,41,008"
2014,2,"5,77,281","1,03,775","6,81,056"
2014,3,"6,96,466","1,24,874","8,21,340"
2014,4,"6,76,427","1,19,965","7,96,392"
2014,5,"6,95,943","1,22,536","8,18,479"
2014,6,"7,02,089","1,26,394","8,28,483"
2014,7,"7,35,523","1,34,191","8,69,714"
2014,8,"7,24,088","1,30,577","8,54,665"
2014,9,"6,65,581","1,11,093","7,76,674"
2014,10,"6,94,036","1,12,478","8,06,514"
2014,11,"6,49,019","1,10,523","7,59,542"
2014,12,"6,66,401","1,21,656","7,88,057"
2014,TOTAL,"81,07,803","14,34,121","95,41,924"
2015,1,"6,34,868","1,20,629","7,55,497"
2015,2,"5,70,076","1,07,407","6,77,483"
2015,3,"6,84,009","1,24,658","8,08,667"
2015,4,"6,69,870","1,22,749","7,92,619"
2015,5,"6,90,230","1,25,341","8,15,571"
2015,6,"6,97,511","1,27,980","8,25,491"
2015,7,"7,32,894","1,37,374","8,70,268"
2015,8,"7,24,134","1,34,508","8,58,642"
2015,9,"6,58,506","1,15,656","7,74,162"
2015,10,"6,87,829","1,17,640","8,05,469"
2015,11,"6,51,293","1,12,641","7,63,934"
2015,12,"6,59,939","1,25,856","7,85,795"
2015,TOTAL,"80,61,159","14,72,439","95,33,598"
2016,1,"6,36,907","1,24,593","7,61,500"
2016,2,"6,12,287","1,15,907","7,28,194"
2016,3,"6,97,968","1,29,902","8,27,870"
2016,4,"6,75,765","1,25,577","8,01,342"
2016,5,"7,03,076","1,29,532","8,32,608"
2016,6,"7,13,782","1,34,111","8,47,893"
2016,7,"7,31,220","1,41,593","8,72,813"
2016,8,"7,32,136","1,38,002","8,70,138"
2016,9,"6,73,306","1,21,347","7,94,653"
2016,10,"6,88,482","1,22,035","8,10,517"
2016,11,"6,58,300","1,16,252","7,74,552"
2016,12,"6,62,304","1,32,016","7,94,320"
2016,TOTAL,"81,85,533","15,30,867","97,16,400"
2017,1,"6,45,310","1,30,521","7,75,831"
2017,2,"5,92,178","1,15,838","7,08,016"
2017,3,"6,97,139","1,33,569","8,30,708"
2017,4,"6,73,496","1,32,161","8,05,657"
2017,5,"7,06,879","1,33,621","8,40,500"
2017,6,"7,18,964","1,39,509","8,58,473"
2017,7,"7,39,698","1,48,190","8,87,888"
2017,8,"7,35,373","1,43,786","8,79,159"
2017,9,"6,52,125","1,20,216","7,72,341"
2017,10,"6,91,703","1,25,356","8,17,059"
2017,11,"6,56,416","1,19,405","7,75,821"
2017,12,"6,67,329","1,33,315","8,00,644"
2017,TOTAL,"81,76,610","15,75,487","97,52,097"
2018,1,"6,49,102","1,28,139","7,77,241"
2018,TOTAL,"6,49,102","1,28,139","7,77,241"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
