Operating Revenue (In Thousands of Dollars $000) (All U.S. Carriers - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2012,4,"3,32,83,857","38,65,603","50,32,401","42,15,400","9,40,544","4,73,37,806"
2012,TOTAL,"13,58,30,212","1,59,55,317","2,26,77,396","1,76,66,067","39,76,258","19,61,05,250"
2013,1,"3,26,82,301","47,77,202","46,18,413","39,08,234","7,86,878","4,67,73,028"
2013,2,"3,55,27,896","40,87,433","64,24,119","42,83,352","8,05,506","5,11,28,305"
2013,3,"3,59,90,506","42,39,798","70,84,002","46,54,162","8,02,943","5,27,71,412"
2013,4,"3,49,44,094","42,78,566","53,26,866","41,79,043","8,43,570","4,95,72,139"
2013,TOTAL,"13,91,44,797","1,73,83,000","2,34,53,400","1,70,24,791","32,38,896","20,02,44,884"
2014,1,"3,35,58,448","47,18,342","47,01,614","40,96,258","6,15,031","4,76,89,693"
2014,2,"3,80,71,207","44,49,597","68,08,456","42,38,269","6,78,896","5,42,46,424"
2014,3,"3,79,24,357","41,51,779","74,08,340","47,18,232","7,13,460","5,49,16,168"
2014,4,"3,63,17,906","42,38,835","54,29,170","41,24,085","7,51,606","5,08,61,603"
2014,TOTAL,"14,58,71,919","1,75,58,552","2,43,47,579","1,71,76,844","27,58,993","20,77,13,887"
2015,1,"3,44,00,448","44,83,445","45,94,343","40,17,639","6,43,609","4,81,39,484"
2015,2,"3,79,88,917","40,42,553","63,86,612","41,40,278","6,41,813","5,32,00,172"
2015,3,"3,81,70,710","39,62,621","70,47,691","43,55,871","6,50,533","5,41,87,425"
2015,4,"3,63,72,331","37,56,925","51,76,286","38,60,714","6,67,555","4,98,33,811"
2015,TOTAL,"14,69,32,406","1,62,45,543","2,32,04,932","1,63,74,502","26,03,510","20,53,60,893"
2016,1,"3,47,66,496","44,71,219","41,71,594","39,23,713","5,96,696","4,79,29,718"
2016,2,"3,86,83,010","37,54,422","60,78,203","41,37,491","6,06,344","5,32,59,470"
2016,3,"3,92,67,618","37,64,641","72,78,521","43,91,005","5,97,529","5,52,99,314"
2016,4,"3,93,82,343","36,55,689","58,86,529","41,11,883","7,62,528","5,37,98,973"
2016,TOTAL,"15,20,99,466","1,56,45,971","2,34,14,848","1,65,64,092","25,63,096","21,02,87,474"
2017,1,"3,69,80,364","41,14,666","51,64,688","40,02,170","6,34,553","5,08,96,442"
2017,2,"4,16,84,550","40,80,115","70,28,765","41,85,903","6,39,566","5,76,18,900"
2017,3,"4,04,46,781","40,82,264","73,51,029","44,09,803","7,58,463","5,70,48,341"
2017,TOTAL,"11,91,11,695","1,22,77,046","1,95,44,483","1,25,97,876","20,32,583","16,55,63,682"
,,,,,,,
Note: All numbers are for scheduled services.,,,,,,,
